person_id,name,department,birthday,deathday,gender,birth_place
42746,John Doe,Acting,1954/02/25,,2,"Decatur, Illinois, USA"
1466,Charles Durning,Acting,1923/02/28,,2,"Highland Falls, New York, USA"
6194,Claire Danes,Acting,1979/04/12,,1,"Manhattan, New York, USA"
24366,Philippe Noiret,Acting,1930/10/01,,2,"Lille, Nord, France"
67792,Massimo Troisi,Acting,1953/02/19,,0,San Giorgio a Cremano
10777,Maria Grazia Cucinotta,Acting,1968/07/27,,1,"Messina, Sicily, Italy"
14149,Renato Scarpa,Acting,1939/01/01,,2,Milan - Lombardy - Italy
538696,Linda Moretti,Acting,1921/02/10,,1,"Orta Nova, Foggia"
69301,Hal Scardino,Acting,1984/12/25,,2,"Savannah, Georgia, USA"
69302,Litefoot,Acting,1969/03/01,,2,"Upland, California, USA"
32225,Lindsay Crouse,Acting,1948/05/12,,1,"New York City, New York, USA"
28633,Richard Jenkins,Acting,1947/05/04,,2,"DeKalb, Illinois, USA"
1318612,Rishi Bhat,Acting,,,0,
35,Sally Field,Acting,1946/11/06,,1,"Pasadena, California, USA"
2628,Kiefer Sutherland,Acting,1966/12/21,,2,"Paddington, London, England, UK"
821,Beverly D'Angelo,Acting,1951/11/15,,1,"Columbus, Ohio, United States"
33689,Charlayne Woodard,Acting,1953/12/29,,1,"Albany, New York, USA"
3037,Richard Dreyfuss,Acting,1947/10/29,,2,"Brooklyn, New York, USA"
21104,Glenne Headly,Acting,1955/03/13,,1,"New London, Connecticut, USA"
21105,Jay Thomas,Acting,1948/07/12,,2,"Kermit, Texas, USA"
3019,Olympia Dukakis,Acting,1931/06/20,,1,"Lowell, Massachusetts, USA"
3905,William H. Macy,Acting,1950/03/13,,2,"Miami, Florida, USA"
35690,Shawn Wayans,Acting,1971/01/19,,2,"New York City, New York, U.S"
9562,Marlon Wayans,Acting,1972/07/23,,2,"New York City, New York, USA"
66131,Tracey Cherelle Jones,Acting,1970/01/23,,1,
27590,Chris Spencer,Acting,1968/01/02,,2," Los Angeles, California, USA"
2535,Vivica A. Fox,Acting,1964/07/30,,1,"South Bend, Indiana, USA"
18277,Sandra Bullock,Acting,1964/07/26,,1,"Arlington County, Virginia, USA"
5724,Denis Leary,Acting,1957/08/18,,2,"Worcester, Massachusetts, USA"
5050,Yaphet Kotto,Acting,1937/11/15,,2,"New York City, New York, U.S."
8435,Stephen Dillane,Acting,1956/11/30,,2,"London, England, UK"
64998,Pauly Shore,Acting,1968/02/01,,2,"Hollywood, California, USA"
7676,William Atherton,Acting,1947/07/30,,2,Orange - Connecticut - USA
16484,Joey Lauren Adams,Acting,1968/01/09,,1,"Little Rock, Arkansas, USA"
43433,Teresa Hill,Acting,1969/05/09,,1,"Burley, Idaho, USA"
29459,Patrick Bergin,Acting,1951/02/04,,2,"Dublin, Ireland"
40009,Matt Frewer,Acting,1958/01/04,,2,"Washington, District of Columbia, USA"
58119,Austin O'Brien,Acting,1981/05/11,,2,"Eugene, Oregon, U.S.A"
36898,Ely Pouget,Acting,1961/08/30,,1,"New Jersey, USA "
72612,Camille Cooper,Acting,,,1,"Los Angeles, California, USA "
25256,Victoria Abril,Acting,1959/07/04,,1,"  Madrid, Spain"
35137,Josiane Balasko,Acting,1950/04/15,,1,"Paris, France"
4275,Alain Chabat,Acting,1958/11/24,,2,"Oran, Oranie, Algérie"
13689,Ticky Holgado,Acting,1944/06/24,,2,"Toulouse, Haute-Garonne, Midi-Pyrénées, France"
