index,mid,person_id
941,22625,9825
942,22625,10697
943,2292,23629
944,2292,23630
945,2292,19302
946,2292,19303
947,2292,23632
948,1909,85
949,1909,3084
950,1909,6450
951,1909,19888
952,1909,19889
953,8984,3392
954,8984,3416
955,8984,55636
956,8984,19152
957,8984,56485
958,4954,10814
959,4954,2048
960,4954,20759
961,4954,2169
962,4954,21563
963,62488,32597
964,62488,18331
965,62488,6474
966,62488,138
967,62488,26485
968,10531,10205
969,10531,2282
970,10531,14344
971,10531,65537
972,10531,65538
973,11929,8534
974,11929,10431
975,11929,33448
976,11929,290
977,11929,11064
978,8467,206
979,8467,8447
980,8467,34485
981,8467,8437
982,8467,5170
983,10451,1623
984,10451,65354
985,10451,65353
986,10451,65352
987,10451,57054
988,20156,21089
989,20156,18658
990,20156,13550
991,20156,20173
992,20156,98
993,18395,65002
994,18395,24589
995,18395,12929
996,18395,707
997,18395,1210
998,522,85
999,522,2641
1000,522,520
1001,522,4687
1002,522,4004
1003,397,5344
1004,397,8945
1005,397,16327
1006,397,1003
1007,397,16328
1008,10525,7904
1009,10525,26513
1010,10525,3266
1011,10525,65528
1012,10525,15416
1013,27985,13920
1014,27985,17772
1015,27985,52374
1016,27985,19453
1017,27985,48464
1018,15789,84213
1019,15789,61983
1020,15789,43125
1021,15789,12077
1022,15789,93663
1023,27303,4785
1024,27303,77133
1025,27303,5588
1026,27303,23958
1027,27303,658
1028,21183,2231
1029,21183,8654
1030,21183,18331
1031,21183,7036
1032,21183,85313
1033,10954,16240
1034,10954,27392
1035,10954,39195
1036,10954,1924
1037,10954,25838
1038,47867,1932601
1039,47867,1932602
1040,47867,1932603
1041,47867,174125
1042,47867,198415
1043,14275,134119
1044,14275,134120
1045,14275,122449
1046,14275,1224931
1047,14275,2266458
1048,1024,15091
1049,1024,204
1050,1024,15092
1051,1024,15093
1052,1024,15094
1053,17207,57119
1054,17207,14104
1055,17207,387
1056,17207,42059
1057,17207,88599
1058,13701,64
1059,13701,1924
1060,13701,6588
1061,13701,55851
1062,13701,23797
1063,14819,7399
1064,14819,77337
1065,14819,77330
1066,14819,26042
1067,14819,32394
1068,32631,38559
1069,32631,11389
1070,32631,6720
1071,32631,81108
1072,32631,80607
1073,11777,504
1074,11777,5344
1075,11777,6837
1076,11777,23708
1077,11777,11275
1078,628,287
1079,628,500
1080,628,205
1081,628,3131
1082,628,2224
1083,87729,1733
1084,87729,21245
1085,87729,9030
1086,87729,12052
1087,87729,18766
1088,18713,77761
1089,18713,83480
1090,18713,1903
1091,18713,21282
1092,18713,47774
1093,6280,1100
1094,6280,518
1095,6280,7056
1096,6280,8924
1097,6280,14699
1098,9061,738
1099,9061,2975
1100,9061,56871
1101,9061,689
1102,9061,15532
1103,37108,21403
1104,37108,14324
1105,37108,10672
1106,37108,8784
1107,37108,204
1108,6071,16560
1109,6071,2231
1110,6071,2963
1111,6071,9994
1112,6071,49824
1113,11,2
1114,11,3
1115,11,4
1116,11,5
