index,mid,country_id
1515,17834,US
1516,686,US
1517,65046,AU
1518,4421,US
1519,9387,US
1520,10603,US
1521,2142,US
1522,8413,GB
1523,8413,US
1524,10336,US
1525,20737,CA
1526,20737,US
1527,9413,US
1528,14585,CA
1529,14585,US
1530,49462,FR
1531,49462,GB
1532,8834,US
1533,9458,US
1534,8854,US
1535,38295,FR
1536,38295,US
1537,22073,US
1538,37244,
1539,4961,US
1540,9416,US
1541,26180,US
1542,17832,US
1543,9772,DE
1544,9772,US
1545,6072,US
1546,1669,US
1547,468,US
1548,32519,US
1549,108401,
1550,10806,US
1551,9433,US
1552,6623,US
1553,2118,US
1554,978,US
1555,9437,US
1556,29461,US
1557,10351,US
1558,66588,US
1559,2649,US
1560,14289,US
1561,10155,FR
1562,10155,US
1563,20457,IE
1564,20457,US
1565,18355,CA
1566,55306,US
1567,68924,FR
1568,68924,US
1569,2255,US
1570,9427,GB
1571,9427,US
1572,172545,GB
1573,17589,IE
1574,17589,GB
1575,17589,US
1576,3597,US
1577,1813,DE
1578,1813,US
1579,36797,US
1580,12628,US
1581,33344,
1582,25099,US
1583,45019,US
1584,62422,US
1585,782,US
1586,29911,GB
1587,29911,US
1588,9827,US
1589,1959,GB
1590,8067,GB
1591,8067,US
1592,125052,US
1593,45153,US
1594,10871,US
1595,14398,US
1596,10890,US
1597,1281,GB
1598,1281,US
1599,9770,US
1600,14905,GB
1601,14905,US
1602,14583,US
1603,11975,US
1604,4995,US
1605,9281,US
1606,45928,US
1607,563,US
1608,61337,US
1609,61337,AU
1610,19931,US
1611,19931,CN
1612,31535,US
1613,10215,GB
1614,10215,US
1615,9823,US
1616,37165,US
1617,45609,GB
1618,45609,US
1619,38904,NL
1620,38904,GB
1621,38904,US
1622,45565,FR
1623,45565,DE
1624,45565,GB
1625,9407,US
1626,4824,US
1627,9444,US
1628,9414,US
1629,8078,US
1630,11831,US
1631,2895,US
1632,39177,FR
1633,19601,GB
1634,22797,GB
1635,2639,US
1636,9574,US
1637,10371,US
